N�_INVENTARIO;TITULO;NOMBRE_AUTOR;FECHA_CREACION;FONDO;ANCHO;ALTO;TECNICA;TIPO;MATERIAL_BASE;MATERIAL_SECUNDARIO;TEMATICA;ESTADO_PATRIMONIAL;USUARIO;ALTA;VALOR_ADQUISICION
1002228;SIN TITULO;"MU�OZ BARBERAN, MANUEL";;0;33.5;24;;PINTURA;PAPEL;ACUARELA;PAISAJE;Alta patrimonial;;COMPRAVENTA;1442.43
1002229;NOCHE DE CARNAVAL;"HERNANSAEZ DE DIOS, ANGEL";01.01.1971;0;130.5;91;;PINTURA;LIENZO;OLEO;RETRATO;Alta patrimonial;;COMPRAVENTA;3906.58
1002230;ARCON DE MADERA DE ROBLE CIRCA 1760;ANONIMO;;49.5;121;77;;MUEBLE ARTISTICO;;;;Alta patrimonial;;COMPRAVENTA;1442.43
1002231;HOMENAJE A TIZIANO;"GAYA, RAMON";;0;67;55;;PINTURA;PAPEL;GOUACHE;COMPOSICION;Alta patrimonial;;COMPRAVENTA;12020.24
1002232;AMELE-1 (GOLPE DE FUERZA);"CORONADO, MANUEL";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;3005.06
1002233;AMELE-2 (GOLPE DE FUERZA);"CORONADO, MANUEL";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;3005.06
1002234;AMELE-3 (GOLPE DE FUERZA);"CORONADO, MANUEL";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;1502.53
1002235;DESNUDOS;"CAMPUZANO MORENO, ESTEBAN";01.01.1987;0;2.1;200;;PINTURA;LIENZO;OTROS;;Alta patrimonial;;COMPRAVENTA;3005.06
1002236;PINTOR DE CAPRI;"DIS BERLIN CARRERA, MARIANO";01.01.1987;0;258;110;;PINTURA;TELA;OTROS;GENERO;Alta patrimonial;;COMPRAVENTA;3606.07
1002237;NUDO EN EL PAISAJE;"INSERTIS, PILAR";01.01.1987;0;152.5;206;;PINTURA;;OTROS;;Alta patrimonial;;COMPRAVENTA;3606.07
1002239;ANTIMAGNETIC;"ISIDRO NORIEGA,JUAN FRANCISCO";01.01.1987;0;100;100;;PINTURA;MADERA;OLEO;EXPRESIONISMO;Alta patrimonial;;COMPRAVENTA;0.00
1002240;CASA ROMANA;"NAVARRO BALDEWEG, JUAN";01.01.1987;0;1.95;1.91;;PINTURA;LIENZO;OLEO;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;9015.18
1002241;MULLER E PLANTA;PATI�O ANTON;01.01.1987;0;300;230;;PINTURA;TELA;OTROS;FIGURATIVO;Adscrito patrimonial;SERVICIO REGIONAL DE EMPLEO Y FORMA;COMPRAVENTA;9015.18
1002242;SU CASA;PRADAS CHARO;01.01.1987;0;0;0;;PINTURA;TELA;;;Alta patrimonial;;COMPRAVENTA;3606.07
1002243;SIN TITULO;"UGALDE DIEZ, JUAN";01.01.1986;0;205;263.5;;PINTURA;LIENZO;OLEO;;Alta patrimonial;;COMPRAVENTA;4808.10
1002244;MONTEGLORIA MONTEAMBICION;"VAZQUEZ, XEXUS";01.01.1985;0;250;200;;PINTURA;LIENZO;OTROS;;Alta patrimonial;;COMPRAVENTA;4507.59
1002245;SIN TITULO;"VON BERNER, DARYA";;0;322;96.5;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;6611.13
1002246;YA SABE SU MENSAJE;"MOLINA SANCHEZ, JOSE ANTONIO";01.01.1987;0;54;65;;PINTURA;LIENZO;OLEO;RETRATO;Alta patrimonial;;COMPRAVENTA;2253.80
1002247;CAMPOS DE MAZARRON;"GOMEZ CANO, CARLOS";01.01.1977;0;64;50;;PINTURA;PAPEL;ACUARELA;PAISAJE;Alta patrimonial;;COMPRAVENTA;1081.82
1002248;PAISAJE;"AVELLANEDA, MANUEL";;0;100;81.5;;PINTURA;LIENZO;OLEO;PAISAJE;Alta patrimonial;;COMPRAVENTA;2404.05
1002249;ESTUDIOS CON PAN DE ORO EN GEOMETRIZAC.;GARCIA JIMENEZ. JUAN E.;01.01.1988;0;40;60;;PINTURA;PAPEL;OTROS;;Alta patrimonial;;COMPRAVENTA;300.51
1002250;ESTUDIOS CON PAN DE ORO EN GEOMETR.II;GARCIA JIMENEZ. JUAN E.;01.01.1988;0;41.5;59.5;;PINTURA;PAPEL;OTROS;;Alta patrimonial;;COMPRAVENTA;300.51
1002251;SIN TITULO;"PARDO, PEDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;781.32
1002252;SIN TITULO;"PARDO, PEDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;781.32
1002253;NI�A SENTADA CON MU�ECA;"HERNANSAEZ DE DIOS, ANGEL";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;3005.06
1002254;BALNEARIO DEL MAR MENOR;"SERNA VERDU, PEDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;811.37
1002255;SILLA;"GARCIA SILVA, FRANCISCO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;871.47
1002256;"WIND, RAIN AND FIRE (VIENTO, LLUVIA ...";"WHISHAW, ANTHONY";03.04.1982;0;458;113;;PINTURA;LIENZO;OLEO;;Alta patrimonial;;COMPRAVENTA;18030.36
1002257;INTORNO AL CHIOSTRO VERDE DI PAOLO UCELL;"CANO HERNANDEZ, PEDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;15025.30
1002258;AUTORRETRATO;"FLORES, PEDRO";;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;6010.12
1002259;DOS HERMANAS;"MURIEDAS MAZORRA, JOSE";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;3005.06
1002261;COMPOSICION;"PUJANTE, MA. ROSA";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;901.52
