id_inventario,titulo,nombre_autor,fecha_creacion,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica,estado_patrimonial,usuario,alta,valor_adquisicion(euros)
1001565,PAISAJE DEL RIO,VICTORIO NICOLAS,DESCONOCIDO,0.0,60.0,45.0,DESCONOCIDA,PINTURA,,ACUARELA,PAISAJE,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,3005.06
1001566,OCHO DE ESPADAS,"BELZUNCE, MANOLO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001567,NUEVE DE ESPADAS.,"CACHO, JOSE LUIS",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001568,DIEZ DE ESPADAS,"MARTINEZ MENGUAL, ANTONIO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001569,ONCE DE ESPADAS,"SAURA SERNA, FRANCISCO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001570,DOCE DE ESPADAS,"AZPARREN, J.",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001571,AS DE BASTOS,"MOLINA SANCHEZ, JOSE ANTONIO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001572,DOS DE BASTOS,"BARNUEVO, MANUEL",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001573,TRES DE BASTOS,"JIMENEZ, ANTONIO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001574,CUATRO DE BASTOS,"HARO, ANGEL",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001575,CINCO DE BASTOS,"ALONSO LUZZY, RAMON",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001576,SEIS DE BASTOS,"CAMPUZANO MORENO, ESTEBAN",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
