,nombre_autor
492,"CEREZO, ZACARIAS"
493,"CEREZO, ZACARIAS"
494,"CEREZO, ZACARIAS"
495,"HERNANSAEZ DE DIOS, ANGEL"
496,"HERNANSAEZ DE DIOS, ANGEL"
497,"CHARRIS, ANGEL MATEO"
498,"BALLESTER, ANTONIO"
499,"CEBALLOS, TOMY"
500,"HARO, ANGEL"
501,"STILES, PAUL"
502,"STILES, PAUL"
503,"STILES, PAUL"
504,"FERNANDEZ SAURA, ANGEL"
505,"FERNANDEZ SAURA, ANGEL"
506,"FERNANDEZ SAURA, ANGEL"
507,"FERNANDEZ SAURA, ANGEL"
508,"FERNANDEZ SAURA, ANGEL"
509,"FERNANDEZ SAURA, ANGEL"
510,"PEREIRA, M.C.A."
511,"PEREIRA, M.C.A."
512,"NIETO, ENRIQUE"
513,"NIETO, ENRIQUE"
514,"REYES GUILLEN, J."
515,"NIETO, ENRIQUE"
516,"NIETO, ENRIQUE"
517,"VALENCIANO, CARLOS"
518,"PARDO, PEDRO"
519,"NIETO, ENRIQUE"
520,DESCONOCIDO
521,DESCONOCIDO
522,DESCONOCIDO
523,DESCONOCIDO
524,DESCONOCIDO
525,DESCONOCIDO
526,DESCONOCIDO
527,"BALLESTER NAVARRO, MARIANO"
528,MARTINEZ LOZANO
529,"PINA NORTES, �NGEL"
530,"VALENCIANO, CARLOS"
531,DESCONOCIDO
532,DESCONOCIDO
533,DESCONOCIDO
534,DESCONOCIDO
535,"GAYA, RAMON"
536,"GAYA, RAMON"
537,"GAYA, RAMON"
538,"GAYA, RAMON"
539,"GAYA, RAMON"
540,"GAYA, RAMON"
541,"AVELLANEDA, MANUEL"
542,GARCIA JIMENEZ. JUAN E.
543,GARCIA JIMENEZ. JUAN E.
544,"AVELLANEDA, MANUEL"
545,RUBIO PACHEO
546,"SASTRE, ADELA"
547,CANOVAS
548,"RUIZ, MANUEL L.(LOLO)"
549,GARCIA A.
550,DESCONOCIDO
551,DESCONOCIDO
552,DESCONOCIDO
553,DESCONOCIDO
554,"BRANDARD, J."
555,"ALONSO LUZZY, RAMON"
556,"CANO HERNANDEZ, PEDRO"
557,"CANO HERNANDEZ, PEDRO"
558,HIDALGO DE CISNEROS
559,"PEREIRA, M.C.A."
560,GONZALEZ RAMON
561,"GOMEZ-OSUNA, MONSERRAT"
562,"GARCIA SILVA, FRANCISCO"
563,"MARQUEZ, PABLO"
564,"LINARES, ESTEBAN"
565,"CAUBIOS, PIERRE"
566,MURADO
567,"CASCAJOSA ARROYO, ENRIQUE"
568,"GARCIA ASENJO, PALOMA"
569,"GALINDO, JORGE"
570,SATRUSTEGUI ZAPATERO
