id_autor,id_usuario,titulo,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
2134,1,DOS TOREROS,0.0,0.0,0.0,DESCONOCIDA,OTROS,,,SIN DEFINIR
2134,1,LA ALCANARA,0.0,0.0,0.0,DESCONOCIDA,OTROS,,,SIN DEFINIR
2134,1,SALUDO,0.0,0.0,0.0,DESCONOCIDA,OTROS,,,SIN DEFINIR
2154,1,PASTORES DEL DESIERTO I,0.0,0.0,0.0,DESCONOCIDA,FOTOGRAFIA,,,SIN DEFINIR
2154,1,PASTORES DEL DESIERTO II,0.0,0.0,0.0,DESCONOCIDA,FOTOGRAFIA,,,SIN DEFINIR
2154,1,PASTORES DEL DESIERTO III,0.0,0.0,0.0,DESCONOCIDA,FOTOGRAFIA,,,SIN DEFINIR
2154,1,PASTORES DEL DESIERTO IV,0.0,0.0,0.0,DESCONOCIDA,FOTOGRAFIA,,,SIN DEFINIR
2154,1,PASTORES DEL DESIERTO S/T V,0.0,0.0,0.0,DESCONOCIDA,FOTOGRAFIA,,,SIN DEFINIR
2103,1,A MARIO BENEDETTI,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1609,1,EL FIN DEL VIAJE,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1535,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1644,1,COMO SACARLE PARTIDO A LA VIDA,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2156,1,MOSQUETERO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2068,1,MARINA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1646,1,LA PRESENTACION DEL NI�O MOISES A LA ...,0.0,0.0,0.0,DESCONOCIDA,GRABADO,,,SIN DEFINIR
1647,1,CATEDRAL DE AMIENS,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2103,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2159,1,FRENTE A UN PANORAMA QUE NO ME PERTENE..,0.0,0.0,0.0,DESCONOCIDA,GRABADO,,,SIN DEFINIR
2134,1,HOMENAJE A JUAN RULFO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2068,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
